"","x"
"985",-0.379166666666667
"986",-0.166666666666667
"987",-0.291666666666667
"988",-0.416666666666667
"989",-0.466666666666667
"990",-0.244444444444444
"991",-0.250694444444445
"992",-0.355555555555556
"993",-0.363194444444445
"994",-0.194444444444445
"995",-0.269444444444445
"996",-0.177777777777778
"997",-0.494444444444445
"998",-0.544444444444445
"999",-0.452777777777778
"1000",-0.244444444444444
"1001",-0.556944444444445
"1002",-0.344444444444445
"1003",-0.469444444444445
"1004",-0.594444444444445
"1005",-0.644444444444445
"1006",-0.250694444444445
"1007",-0.355555555555556
"1008",-0.363194444444445
"1009",-0.194444444444445
"1010",-0.269444444444445
"1011",-0.177777777777778
"1012",-0.494444444444445
"1013",-0.544444444444445
"1014",-0.452777777777778
"1015",-0.244444444444444
"1016",-0.556944444444445
"1017",-0.344444444444445
"1018",-0.469444444444445
"1019",-0.594444444444445
"1020",-0.644444444444445
"1021",-0.368055555555556
"1022",-0.375694444444445
"1023",-0.206944444444445
"1024",-0.281944444444445
"1025",-0.190277777777778
"1026",-0.506944444444445
"1027",-0.556944444444445
"1028",-0.465277777777778
"1029",-0.256944444444445
"1030",-0.569444444444445
"1031",-0.356944444444445
"1032",-0.481944444444445
"1033",-0.606944444444445
"1034",-0.656944444444445
"1035",-0.585416666666667
"1036",-0.416666666666667
"1037",-0.491666666666667
"1038",-0.4
"1039",-0.716666666666667
"1040",-0.766666666666667
"1041",-0.675
"1042",-0.466666666666667
"1043",-0.779166666666667
"1044",-0.566666666666667
"1045",-0.691666666666667
"1046",-0.816666666666667
"1047",-0.866666666666667
"1048",-0.431944444444444
"1049",-0.506944444444445
"1050",-0.415277777777778
"1051",-0.731944444444445
"1052",-0.781944444444445
"1053",-0.690277777777778
"1054",-0.481944444444445
"1055",-0.794444444444445
"1056",-0.581944444444445
"1057",-0.706944444444445
"1058",-0.831944444444445
"1059",-0.881944444444445
"1060",-0.169444444444445
"1061",-0.0777777777777779
"1062",-0.394444444444445
"1063",-0.444444444444445
"1064",-0.352777777777778
"1065",-0.144444444444445
"1066",-0.456944444444445
"1067",-0.244444444444444
"1068",-0.369444444444444
"1069",-0.494444444444445
"1070",-0.544444444444445
"1071",-0.227777777777778
"1072",-0.544444444444445
"1073",-0.594444444444445
"1074",-0.502777777777778
"1075",-0.294444444444445
"1076",-0.606944444444445
"1077",-0.394444444444445
"1078",-0.519444444444445
"1079",-0.644444444444445
"1080",-0.694444444444445
"1081",-0.361111111111111
"1082",-0.411111111111111
"1083",-0.319444444444444
"1084",-0.111111111111111
"1085",-0.423611111111111
"1086",-0.211111111111111
"1087",-0.336111111111111
"1088",-0.461111111111111
"1089",-0.511111111111111
"1090",-1.04444444444444
"1091",-0.952777777777778
"1092",-0.744444444444445
"1093",-1.05694444444444
"1094",-0.844444444444445
"1095",-0.969444444444445
"1096",-1.09444444444444
"1097",-1.14444444444444
"1098",-1.05277777777778
"1099",-0.844444444444445
"1100",-1.15694444444444
"1101",-0.944444444444445
"1102",-1.06944444444444
"1103",-1.19444444444444
"1104",-1.24444444444444
"1105",-0.661111111111111
"1106",-0.973611111111111
"1107",-0.761111111111111
"1108",-0.886111111111111
"1109",-1.01111111111111
"1110",-1.06111111111111
"1111",-0.556944444444445
"1112",-0.344444444444445
"1113",-0.469444444444445
"1114",-0.594444444444445
"1115",-0.644444444444445
"1116",-0.969444444444445
"1117",-1.09444444444444
"1118",-1.21944444444444
"1119",-1.26944444444444
"1120",-0.669444444444445
"1121",-0.794444444444445
"1122",-0.844444444444445
"1123",-1.04444444444444
"1124",-1.09444444444444
"1125",-1.34444444444444
"1126",-0.535964285714286
"1127",-0.828464285714286
"1128",-0.527035714285714
"1129",-0.665130952380953
"1130",-1.04846428571429
"1131",-1.16989285714286
"1132",-1.32846428571429
"1133",-1.32068650793651
"1134",-0.898464285714286
"1135",-1.33596428571429
"1136",-0.848464285714286
"1137",-0.848464285714286
"1138",-1.38179761904762
"1139",-1.09846428571429
"1140",-1.59846428571429
"1141",-0.150714285714286
"1142",0
"1143",-0.0690476190476192
"1144",-0.260714285714286
"1145",-0.321428571428572
"1146",-0.400714285714286
"1147",-0.396825396825397
"1148",-0.185714285714286
"1149",-0.404464285714286
"1150",-0.160714285714286
"1151",-0.160714285714286
"1152",-0.427380952380953
"1153",-0.285714285714286
"1154",-0.535714285714286
"1155",-0.2925
"1156",-0.361547619047619
"1157",-0.553214285714286
"1158",-0.613928571428572
"1159",-0.693214285714286
"1160",-0.689325396825397
"1161",-0.478214285714286
"1162",-0.696964285714286
"1163",-0.453214285714286
"1164",-0.453214285714286
"1165",-0.719880952380953
"1166",-0.578214285714286
"1167",-0.828214285714286
"1168",-0.0601190476190476
"1169",-0.251785714285715
"1170",-0.3125
"1171",-0.391785714285714
"1172",-0.387896825396826
"1173",-0.176785714285715
"1174",-0.395535714285715
"1175",-0.151785714285714
"1176",-0.151785714285714
"1177",-0.418452380952381
"1178",-0.276785714285714
"1179",-0.526785714285714
"1180",-0.389880952380953
"1181",-0.450595238095238
"1182",-0.529880952380952
"1183",-0.525992063492064
"1184",-0.314880952380953
"1185",-0.533630952380953
"1186",-0.289880952380952
"1187",-0.289880952380952
"1188",-0.556547619047619
"1189",-0.414880952380952
"1190",-0.664880952380953
"1191",-0.833928571428572
"1192",-0.913214285714286
"1193",-0.909325396825397
"1194",-0.698214285714286
"1195",-0.916964285714286
"1196",-0.673214285714286
"1197",-0.673214285714286
"1198",-0.939880952380953
"1199",-0.798214285714286
"1200",-1.04821428571429
"1201",-1.03464285714286
"1202",-1.03075396825397
"1203",-0.819642857142858
"1204",-1.03839285714286
"1205",-0.794642857142857
"1206",-0.794642857142857
"1207",-1.06130952380952
"1208",-0.919642857142857
"1209",-1.16964285714286
"1210",-1.1893253968254
"1211",-0.978214285714286
"1212",-1.19696428571429
"1213",-0.953214285714286
"1214",-0.953214285714286
"1215",-1.21988095238095
"1216",-1.07821428571429
"1217",-1.32821428571429
"1218",-0.970436507936508
"1219",-1.18918650793651
"1220",-0.945436507936508
"1221",-0.945436507936508
"1222",-1.21210317460317
"1223",-1.07043650793651
"1224",-1.32043650793651
"1225",-0.766964285714286
"1226",-0.523214285714286
"1227",-0.523214285714286
"1228",-0.789880952380953
"1229",-0.648214285714286
"1230",-0.898214285714286
"1231",-0.960714285714286
"1232",-0.960714285714286
"1233",-1.22738095238095
"1234",-1.08571428571429
"1235",-1.33571428571429
"1236",-0.473214285714286
"1237",-0.739880952380953
"1238",-0.598214285714286
"1239",-0.848214285714286
"1240",-0.739880952380953
"1241",-0.598214285714286
"1242",-0.848214285714286
"1243",-1.13154761904762
"1244",-1.38154761904762
"1245",-1.09821428571429
"1246",-0.648464285714286
"1247",-0.52525
"1248",-0.710964285714286
"1249",-0.872075396825397
